"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000249006.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000250623.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000214367.10",43.6263799190893,-1.90949928341564,0.756772760107725,-2.52321355111121,0.0116287758227568,0.0352864491763764
"ENSG00000123933.17",133.657969440775,0.87779727314282,0.670320179943288,1.3095193899982,0.190358474027474,0.268288093323944
"ENSG00000159733.14",75.0034792153666,-2.5574629545881,0.734831805162732,-3.48033786319542,0.000500781828218204,0.00455316862085718
"ENSG00000251148.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000206113.12",0.872278375988647,-3.04839796807759,2.37057660443188,-1.28593101036199,0.198467139986491,NA
"ENSG00000063978.17",74.0564341214361,1.65143730828235,0.698768043733125,2.36335551273874,0.0181102870798158,0.048121504828279
"ENSG00000251229.1",1.74455675197729,-4.04839414423605,2.258163517781,-1.7927816618941,0.0730078428488308,0.124113332843012
"ENSG00000125386.16",224.935670928158,-1.52870769329646,0.665067901875528,-2.2985738583766,0.0215291494078068,0.0532096140522673
"ENSG00000248155.1",9.17138406753777,6.83693024616237,2.17002649035196,3.15062063830081,0.00162923956650782,0.00951917491341471
"ENSG00000168884.15",35.8506412531334,1.03170959952677,0.736829187254859,1.4002018613982,0.161452878617563,0.233828644541626
"ENSG00000306431.1",5.15890353799,6.00685855007413,2.19321474455298,2.73883739154711,0.00616568604641092,0.0228215421073183
"ENSG00000087266.18",79.6888602063914,-3.04755530906473,0.753525075209144,-4.04439800257326,5.24577395886093e-05,0.00103721283946518
"ENSG00000087274.19",502.631722483972,0.414580182998171,0.651644901334371,0.636205672981153,0.524642376077222,0.612730570204459
"ENSG00000109736.15",114.729528681821,-0.990840931119948,0.677666609140423,-1.46213627432045,0.143703870178252,0.211913745706461
